epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0382,5.16639,6.95677,4.22729,0,0,0,0,5.18966,6.05935,4.16177,0.00014,0.00014,0.00014
2,103.883,4.93728,6.23036,4.11243,0,0,0,0,5.19457,6.06863,4.16506,0.00028812,0.00028812,0.00028812
3,131.692,4.20319,5.94783,3.97115,0,0,0,0,5.20363,6.08071,4.17106,0.000423568,0.000423568,0.000423568
4,159.335,3.51642,5.2437,3.68071,0,0,0,0,5.21968,6.09532,4.18664,0.000546344,0.000546344,0.000546344
5,184.683,3.46089,5.08016,3.54714,0,0,0,0,5.23933,6.10511,4.20842,0.000656448,0.000656448,0.000656448
6,211.312,3.43292,4.66161,3.25326,0,0,0,0,5.26006,6.10695,4.23347,0.00075388,0.00075388,0.00075388
7,237.158,3.08382,4.09728,2.95406,0,0,0,0,5.23606,6.04329,4.21277,0.00083864,0.00083864,0.00083864
8,262.562,3.0034,3.74287,2.79151,0,0,0,0,5.1034,5.82421,4.09475,0.000910728,0.000910728,0.000910728
9,290.216,2.72213,3.52954,2.72809,0,0,0,0,5.06664,5.69179,4.06467,0.000970144,0.000970144,0.000970144
10,314.342,2.72339,3.18802,2.60177,0,0,0,0,4.82827,5.45102,3.89217,0.00101689,0.00101689,0.00101689
11,340.135,2.60007,3.00647,2.67485,0,0,0,0,4.89118,5.42267,3.93156,0.00105096,0.00105096,0.00105096
12,365.562,2.59738,2.9086,2.48301,0,0,0,0,4.72901,5.31526,3.8416,0.00107236,0.00107236,0.00107236
13,392.874,2.53841,2.97395,2.45415,0,0,0,0,4.87259,5.38721,3.93706,0.0010496,0.0010496,0.0010496
14,421.02,2.46641,2.70511,2.42472,4e-05,0.00813,2e-05,1e-05,3.99386,5.2906,3.56062,0.0009704,0.0009704,0.0009704
15,457.119,2.52276,2.67318,2.39623,0.00221,0.46341,0.00162,0.00072,3.6027,5.04701,3.36554,0.0008912,0.0008912,0.0008912
16,492.256,2.25979,3.1549,2.48415,0.00255,0.54472,0.00986,0.00234,3.37196,4.85566,3.20874,0.000812,0.000812,0.000812
17,531.214,2.15864,2.98193,2.41944,0.00304,0.55285,0.17333,0.05569,2.9918,4.31442,2.9049,0.0007328,0.0007328,0.0007328
18,567.542,2.11065,3.04352,2.34018,0.61895,0.17886,0.27982,0.10684,2.54702,3.68758,2.63877,0.0006536,0.0006536,0.0006536
19,605.999,2.11402,3.01069,2.38042,0.56813,0.43902,0.45363,0.20232,2.09417,2.7368,2.31763,0.0005744,0.0005744,0.0005744
20,652.666,2.0531,2.88992,2.25082,0.5603,0.47154,0.52202,0.25094,1.95265,2.38482,2.2313,0.0004952,0.0004952,0.0004952
21,687.092,2.03453,2.70446,2.29388,0.57697,0.53659,0.59374,0.29687,1.86174,2.31239,2.20446,0.000416,0.000416,0.000416
22,713.376,1.94393,2.666,2.25349,0.60759,0.6546,0.7346,0.36622,1.80818,2.20529,2.15205,0.0003368,0.0003368,0.0003368
23,740.294,1.98746,2.53632,2.20721,0.7029,0.62602,0.75503,0.38143,1.77568,2.13546,2.10036,0.0002576,0.0002576,0.0002576
24,765.613,1.93822,2.53463,2.16537,0.64657,0.63415,0.75761,0.37954,1.7729,2.10063,2.08272,0.0001784,0.0001784,0.0001784
25,793.821,1.95804,2.5525,2.2297,0.7166,0.69919,0.82145,0.40615,1.76502,2.0098,2.06683,9.92e-05,9.92e-05,9.92e-05
